"Date","Status","Home","Score","","Away","Attd"
"1/2/2024","FT","West Ham United","1","1","AFC Bournemouth","62,451"
"","","Ward-Prowse (61' pen)","","","Solanke (3')",""
"1/2/2024","FT","Wolverhampton Wanderers","3","4","Manchester United","31,641"
"","","Sarabia (68' pen), Kilman (85'), Neto (90+5')","","","Rashford (5'), Winther Højlund (22'), McTominay (75'), Mainoo (90+7')",""
"3/2/2024","FT","Brighton & Hove Albion","4","1","Crystal Palace","31,345"
"","","Dunk (3'), Hinshelwood (33'), Buonanotte (34'), Pedro (85')","","","Mateta (72')",""
"3/2/2024","FT","Burnley","2","2","Fulham","20,203"
"","","Datro Fofana (71', 90+1')","","","Palhinha (18'), Muniz (21')",""
"3/2/2024","FT","Everton","2","2","Tottenham Hotspur","39,321"
"","","Calvert-Lewin (30'), Branthwaite (90+4')","","","Richarlison (4', 41')",""
"3/2/2024","FT","Newcastle United","4","4","Luton Town","52,211"
"","","Longstaff (7', 23'), Trippier (67'), Barnes (73')","","","Osho (21'), Barkley (40'), Morris (57' pen), Adebayo (62')",""
"3/2/2024","FT","Sheffield United","0","5","Aston Villa","28,978"
"","","","","","McGinn (12'), Watkins (16'), Bailey (20'), Tielemans (30'), Moreno (47')",""
"4/2/2024","FT","AFC Bournemouth","1","1","Nottingham Forest","11,200"
"","","Kluivert (5')","","","Hudson-Odoi (45+1')",""
"4/2/2024","FT","Arsenal","3","1","Liverpool","60,374"
"","","Saka (14'), Martinelli (67'), Trossard (90+2')","","","Gabriel (45+3' og)",""
"4/2/2024","FT","Chelsea","2","4","Wolverhampton Wanderers","39,628"
"","","Palmer (20'), Silva (86')","","","Cunha (22', 64', 80' pen), Sarabia (44')",""
"4/2/2024","FT","Manchester United","3","0","West Ham United","73,612"
"","","Winther Højlund (23'), Garnacho (49', 84')","","","",""
"5/2/2024","FT","Brentford","1","3","Manchester City","17,096"
"","","Maupay (21')","","","Foden (45+3', 53', 70')",""
"10/2/2024","FT","Fulham","3","1","AFC Bournemouth","24,271"
"","","Reid (5'), Muniz (36', 52')","","","Senesi (50')",""
"10/2/2024","FT","Liverpool","3","1","Burnley","59,896"
"","","Jota (31'), Diaz (52'), Nuñez (79')","","","O'Shea (45')",""
"10/2/2024","FT","Luton Town","1","3","Sheffield United","11,138"
"","","Morris (52' pen)","","","Archer (30'), McAtee (36' pen), De Souza Costa (73')",""
"10/2/2024","FT","Manchester City","2","0","Everton","52,187"
"","","Braut Haaland (71', 85')","","","",""
"10/2/2024","FT","Nottingham Forest","2","3","Newcastle United","29,451"
"","","Elanga (27'), Hudson-Odoi (45+6')","","","Guimaraes (10', 67'), Schar (44')",""
"10/2/2024","FT","Tottenham Hotspur","2","1","Brighton & Hove Albion","61,445"
"","","Matar Sarr (61'), Johnson (90+6')","","","Gro (16' pen)",""
"10/2/2024","FT","Wolverhampton Wanderers","0","2","Brentford","30,731"
"","","","","","Nrgaard (35'), Toney (77')",""
"11/2/2024","FT","Aston Villa","1","2","Manchester United","42,185"
"","","Luiz (67')","","","Winther Højlund (17'), McTominay (86')",""
"11/2/2024","FT","West Ham United","0","6","Arsenal","62,474"
"","","","","","Saliba (33'), Saka (41' pen, 63'), Gabriel (44'), Trossard (45+2'), Rice (66')",""
